id,question,category
train_0001,Nếu xe ô tô đang chạy ở làn ngoài cùng bên phải trong video này thì xe đó chỉ được phép rẽ phải?,"biển báo, làn đường"
train_0002,Phần đường trong video cho phép các phương tiện đi theo hướng nào khi đến nút giao?,"biển báo, làn đường"
train_0003,"Biển chỉ dẫn 3 hướng di chuyển chính tiếp theo, đúng hay sai?",biển báo
train_0004,"Theo biển báo trong video, muốn đi đến đường Lương Đình Của thì phải đi hướng nào?","biển báo, làn đường"
train_0005,Làn đường di chuyển hiện tại có được rẽ phải không?,"biển báo, làn đường"
train_0006,Làn đường xe đang chạy có được phép rẽ trái hay không?,"biển báo, làn đường"
train_0007,"Trong video muốn đi Cầu Rạch Chiếc thì cần rẽ phải, đúng hay sai?",biển báo
train_0008,"Trong video, nếu xe oto đang ở làn bên phải trong cùng thì được đi hướng nào?","biển báo, làn đường"
train_0009,"Trong video, hướng đi Cầu Rạch Chiếc là hướng nào?",biển báo
train_0010,Nếu sẽ ô tô ở làn ngoài cùng bên trái thì có được phép đi thẳng không?,"biển báo, làn đường"
train_0011,Xe đang đi ở làn đường nào?,làn đường
train_0012,"Trong video, tốc độ tối thiểu cho phép phương tiện lưu thông trên cao tốc Long Thành Dầu Giây là 50 km/h, phải không?",biển báo
train_0013,Biển chỉ dẫn trên đường cao tốc Long Thành - Dầu Giây có những thông tin gì?,"biển báo, làn đường"
train_0014,Tốc độ tối thiểu cho phép phương tiện lưu thông trên cao tốc Long Thành Dầu Giây là bao nhiêu?,biển báo
train_0015,Trong video có xuất hiện biển báo nguy hiểm không?,biển báo
train_0016,Hướng ra khỏi cao tốc là hướng nào?,biển báo
train_0017,"Trong video, biển báo giới hạn tốc độ áp dụng cho làn đường xe đang chạy đúng không?","biển báo, làn đường"
train_0018,Tốc độ tối đa trên làn đường đang chạy là bao nhiêu?,"biển báo, làn đường"
train_0019,Biển giới hạn tốc độ áp dụng cho loại phương tiện nào?,biển báo
train_0020,"Trong video, làn xe đang chạy có được chạy 120 km/h không?",làn đường
train_0021,Biển báo xuất hiện ở làn đường đang chạy là biển báo gì?,"biển báo, làn đường"
train_0022,Khi di chuyển trên cao tố,biển báo
train_0023,Trong video có biển báo nguy hiểm không?,biển báo
train_0024,"Trong video, biển báo chỉ hướng đi hiện tại đang chỉ hướng nào?",biển báo
train_0025,Video có đèn đỏ không?,đèn giao thông
train_0026,Trên làn đường ô tô đang đi thì ô tô sẽ được đi theo hướng nào khi đến nút giao?,"biển báo, làn đường"
train_0027,"Ô tô đang đi trên làn đường này sẽ chỉ được phép rẽ trái và rẽ phải khi đến nút giao, đúng hay sai?","biển báo, làn đường"
train_0028,Trên làn đường ô tô đang đi thì ô tô sẽ được đi theo hướng nào khi đến nút giao?,"biển báo, làn đường"
train_0029,Video có đèn đỏ không?,đèn giao thông
train_0030,"Trong video, có những loại biển báo nào",biển báo
train_0031,Có bao nhiêu hướng đi chính được chỉ dẫn trong video?,biển báo
